"","logFC.F1...F0","logFC.F2...F0","logFC.F3...F0","logFC.F4...F0","logCPM","F","PValue","FDR"
"AC096564.1",-0.150841596027534,-0.106804366070818,-0.274321033266836,-0.430433466950418,6.49571203868332,0.659067459693811,0.624267549686086,0.828337589440188
"PGBD1",0.213907787907277,0.33847105244155,0.381078104955719,0.398184956551713,3.46931465151182,0.658883473892098,0.624367410138064,0.8284178045899
"AL731559.1",0.130845404069424,0.216893941620036,0.516386448910787,0.0531893013528131,1.63203076265371,0.657972508664003,0.624595067416375,0.828667561200823
"GNS",0.0671498635897065,-0.0713110228291421,-0.0435705771566908,0.111118461493338,4.37189548558018,0.658522834407356,0.624643422167308,0.828679415675952
"TEAD3",-0.00694601751578312,-0.0726269257096368,-0.0858833039964809,0.179295301210734,4.67460835809068,0.658432542931096,0.624706714504111,0.828711084262348
"CNTNAP5",0.457357095559349,0.45951625915459,0.703577336378949,0.87411342806975,1.88634913710462,0.657748235997955,0.62480613951732,0.828766376393119
"SPOUT1",-0.219406160297849,-0.218602310263645,-0.398089611320156,0.00118337198579322,4.70190308046074,0.658243267649874,0.624835448083461,0.828766376393119
"AL513190.1",-0.541141063425583,-0.716083162477242,-0.908980160363297,-0.609125766070148,0.767813594503358,0.657070753231916,0.624936038021789,0.828766376393119
"COQ3",-0.308937570254866,-0.0933031861924786,-0.138824324554411,-0.0856918023399621,2.914148364304,0.657945830547634,0.624936883907311,0.828766376393119
"CAMK1D",0.278257229060298,0.0553569416740922,0.314709480624535,0.201362589946664,9.63729504945645,0.658066370187408,0.624945514155823,0.828766376393119
"FBN2",0.578124513511183,0.753539244205135,0.968326498976718,0.282493841500662,0.875098376487336,0.656732794999418,0.62517559451834,0.828983060442036
"AL445685.1",-0.00959021922442437,0.121241933450629,0.125503339744902,-0.447486066943524,1.3279518246265,0.656953593886874,0.625187776626773,0.828983060442036
"SPOCK1",0.818484448966662,1.14665362732389,0.94994105384428,1.11014563595693,1.31687298697271,0.656790738021202,0.625268928450777,0.828986894036633
"SF3B3",0.00592713722215133,-0.0535204026564444,-0.0909616629839706,0.0932534577118684,5.62617901185229,0.657595680400052,0.62526953628793,0.828986894036633
"AL136295.2",-0.105457067728189,0.126932771009697,-0.2065809608344,-0.276962690017766,1.74978446676565,0.656779829637388,0.625406419399409,0.829116084291756
"LETM1",-0.266638452600123,-0.26683267308846,-0.303796645735842,-0.0165967623101292,4.66463754012512,0.657342011739161,0.625446768417844,0.829117288793033
"LINC01789",4.38684232688721,4.44339319169416,4.31467280426739,4.92326734048965,-0.912542350196153,0.655165493652545,0.625523562610336,0.829120639343079
"FKBP1A",0.126822315135597,-0.0176453011589042,0.0730552694630372,-0.102217506061837,4.14901256830206,0.657157244948287,0.625566948316277,0.829120639343079
"FBXO25",0.186029392014763,0.190064661558794,0.10131360350182,0.309897181116884,6.24582339917658,0.657136531513544,0.625578359119062,0.829120639343079
