set,arm,gene,in_p1,in_p2,in_sig,kept
full,pericentral,SAT1,True,True,True,True
full,pericentral,MYO18A,True,True,True,True
full,pericentral,NAPRT,True,True,True,True
full,pericentral,USP40,True,True,True,True
full,pericentral,NR1H3,True,True,True,True
full,pericentral,ADD1,True,True,True,True
full,pericentral,RERE,True,True,True,True
full,pericentral,NDEL1,True,True,True,True
full,pericentral,UVSSA,True,True,True,True
full,pericentral,MTTP,True,True,True,True
full,pericentral,PWWP3A,True,True,True,True
full,pericentral,NPHP3,True,True,True,True
full,pericentral,NUP210,True,True,True,True
full,pericentral,TTC38,True,True,True,True
full,pericentral,RNF149,True,True,True,True
full,pericentral,TTC14,True,True,True,True
full,pericentral,SEPSECS,True,True,True,True
full,pericentral,SLC46A1,True,True,True,True
full,pericentral,THNSL2,True,True,True,True
full,pericentral,REV1,True,True,True,True
full,pericentral,SYNE3,True,True,True,True
full,pericentral,RSRC2,True,True,True,True
full,pericentral,BAZ2B,True,True,True,True
full,pericentral,UTY,True,True,True,True
full,pericentral,DBNL,True,True,True,True
full,pericentral,PCMTD2,True,True,True,True
full,pericentral,ARFGAP2,True,True,True,True
full,pericentral,FAM114A1,True,True,True,True
full,pericentral,SMO,True,True,True,True
full,pericentral,HEMK1,True,True,True,True
full,pericentral,RCAN1,True,True,True,True
full,pericentral,AQP9,True,True,True,True
full,pericentral,WWOX,True,True,True,True
full,pericentral,NREP,True,True,True,True
full,pericentral,RPTOR,True,True,True,True
full,pericentral,USP48,True,True,True,True
full,pericentral,NR1H4,True,True,True,True
full,pericentral,TIMM44,True,True,True,True
full,pericentral,PHYKPL,True,True,True,True
full,pericentral,RHOB,True,True,True,True
full,pericentral,MPDZ,True,True,True,True
full,pericentral,BAIAP2,True,True,True,True
full,pericentral,CRELD1,True,True,True,True
full,pericentral,PNPLA3,True,True,True,True
full,pericentral,PRODH2,True,True,True,True
full,pericentral,SRRT,True,True,True,True
full,pericentral,ZRANB2,True,True,True,True
full,pericentral,ERRFI1,True,True,True,True
full,pericentral,GCDH,True,True,True,True
full,pericentral,CDHR5,True,True,True,True
full,pericentral,RAB17,True,True,True,True
full,pericentral,LRCH4,True,True,True,True
full,pericentral,VAV2,True,True,True,True
full,pericentral,ECHDC2,True,True,True,True
